,Model,Acc,SD
0,NB_c1,0.505262502760772,0.013819540369846516
1,Logistic Regression_c1,0.4934317337574874,0.03573333261394014
2,NB_c2,0.4875784452541878,0.027936844544163793
3,Logistic Regression_c2,0.5177494619391054,0.027131364266550086
4,Stack,0.5291352890026519,0.02387903011608729
